DOCTECH_numero;Designation;Maturity;n;total;riesgo;ELTDEC_numero;ELTDEC_designation;FAM_code;FCT_numero;FCT_nature;FCT_designation;FCT_BE_resp;VAR_numero;VAR_type;VAR_argument_produit_1;VAR_argument_produit_2;VAR_prix_previ;VAR_masse_previ;SOL_numero;SOL_site_production;SOL_sce;SOL_appariement;ESO_numero;ESO_etat;ESO_num_appro;ESO_date_histo;ESO_num_PG;ESO_commonalite;ESO_commentaire;ESO_designation_PG;ESO_code_SH;ESO_fourn_pilote;ESO_type_concur;ESO_mas_prob;ESO_mas_recy;ESO_risque;ESO_ecart_mas1;ESO_ecart_mas2;ESO_potentiel;ESO_coef;ESO_design_dos_fct;ESO_BE_resp;ESO_indice_dos_fct;AFU_int_site;AFU_int_sce;AFU_int_validite;AFU_ext_site;AFU_ext_sce;AFU_ext_validite;ECO_statut;ECO_sol_ext;ECO_parallel_set_cod;ECO_commentaire;PIE_numero;PIE_designation;PIE_type;PIE_BE_resp;PIE_sce_gest;PIE_sce_colead;PIE_ldr_conception;PIE_Nis_pie_numero;PIE_unite;AFF_POI_site;AFF_POI_sce;AFF_POI_validite;AFF_POE_site;AFF_POE_sce;AFF_POE_validite;AFF_uti_SIGNE;AFF_uti_G2B;PIE_cod_RSE;PIE_vital_part;PIE_code_nature;PIE_code_techno;PIE_sct_ach;PIE_fournisseur;PIE_cod_fab;PIE_source;PIE_gest_MDS;PIE_prix_std;PIE_prix_hors_amort;PIE_inducteur1;PIE_inducteur2;PIE_creation_comment;PIE_gest_PPU;PIE_maj_PPU;PIEIND_indice;PIEIND_statut;PIEIND_Dernier_indice;PIEIND_Dernier_statut;PIEIND_marquage_pays;PIEIND_masse;PIEIND_type_masse;PIEIND_nuance_protection;PIEIND_epaisseur;PIEIND_typologie;DOCTECH_BE_resp;DOCTECH_type;DOCTECH_indice;DOCTECH_indice_mineur;DOCTECH_flag_nis;perimetro
8201315905;CABLAGE AR;Validated; 3; 3;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F12068;Fonction;CABLAGE AR;Renault;47;Projet;H79 PH 2;NA;NA;NA; 4;NA;0M000;NA; 1;Valide;NA;11/11/2016;F12068/AC;NA;NA;CABLAGE AR;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;MOP;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;241637398R;CABLAGE AR;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;MOP;NA;---;NA;-;WAZ;NA;SUMITOMO ELECTRIC WIRING SYS;ZM;NA;Oui;NA;NA;Inducteurs Spécifiques;Raison Eco / LUP ECO;NA;NA;NA;---;BE;---;BE;NA; 2,152;Pesée pièce série;NA;NA;Plan de définition obligatoire;Renault;Plan;--L;13;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201315915;CABLAGE PORTE CONDUCTEUR;Validated; 1; 1;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F16236;Fonction;CABLAGE PORTE AV G;Renault;31;Projet;H79 PH 2;NA;NA;NA; 6;NA;0M000;NA; 1;Valide;NA;24/05/2016;F16236/AA;NA;NA;CABLAGE PORTE AV G;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;MOP;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;241248130R;CABLAGE PORTE AV;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;MOP;NA;---;NA;-;WAZ;NA;SUMITOMO ELECTRIC WIRING SYS;U1;NA;Oui;NA;NA;Inducteurs Spécifiques;Raison Eco / LUP ECO;NA;NA;NA;---;BE;---;BE;NA; 0,061;Pesée pièce proto;NA;NA;Plan de définition obligatoire;Renault;Plan;--J;10;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201315918;CABLAGE PORTE PASSAGER;Validated; 1; 1;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F16237;Fonction;CABLAGE PORTE AV D;Renault;25;Projet;H79 PH 2;NA;NA;NA; 5;NA;0M000;NA; 1;Valide;NA;24/05/2016;F16237/AA;NA;NA;CABLAGE PORTE AV D;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;MOP;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;241246243R;CABLAGE PORTE AV;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;MOP;NA;---;NA;-;WAZ;NA;SUMITOMO ELECTRIC WIRING SYS;VH;NA;Oui;NA;NA;Inducteurs Spécifiques;Raison Eco / LUP ECO;NA;NA;NA;---;BE;---;BE;NA; 0,120;Pesée pièce proto;NA;NA;Plan de définition obligatoire;Renault;Plan;--H; 9;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201315921;CABLAGE PORTE AR;Validated; 1; 1;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F16239;Fonction;CABLAGE PORTE AR D;Renault;19;Projet;H79 PH 2;NA;NA;NA; 3;NA;0M000;NA; 1;Valide;NA;24/05/2016;F16239/AA;NA;NA;CABLAGE PORTE AR D;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;MOP;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;241263834R;CABLAGE PORTE AR;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;MOP;NA;---;NA;-;WAZ;NA;SUMITOMO ELECTRIC WIRING SYS;Y6;NA;Oui;NA;NA;Inducteurs Spécifiques;Raison Eco / LUP ECO;NA;NA;NA;---;BE;---;BE;NA; 0,170;Pesée pièce proto;NA;NA;Plan de définition obligatoire;Renault;Plan;--G; 8;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201315925;CABLAGE BOUCLIER AV;Validated; 1; 1;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F10119;Fonction;CABLAGE BOUCLIER AVANT;Renault;5;Projet;H79 PH 2;NA;NA;NA; 3;MOP;0M000;NA; 1;Valide;NA;24/05/2016;F10119/AA;NA;NA;CABLAGE BOUCLIER AV;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;MOP;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;240708797R;CABLAGE BOUCLIER AV;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;MOP;NA;---;NA;-;WAZ;NA;SUMITOMO ELECTRIC WIRING SYS;3D;NA;Oui;NA;NA;Inducteurs Spécifiques;Raison Eco / LUP ECO;NA;NA;NA;---;BE;---;BE;NA; 0,050;Pesée pièce proto;NA;NA;Plan de définition obligatoire;Renault;Plan;--E; 7;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201315934;CABLAGE VIDE-POCHE;Validated; 1; 1;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F17113;Fonction;CABLAGE VIDE POCHE;Renault;16;Projet;H79 PH 2;NA;NA;NA; 3;NA;0M000;NA; 1;Valide;NA;24/05/2016;F17113/AA;NA;NA;CABLAGE VIDE POCHE;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;MOP;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;240187896S;CABLAGE VIDE-POCHE;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;MOP;NA;---;NA;-;WAZ;NA;SUMITOMO ELECTRIC WIRING SYS;AY;NA;Oui;NA;NA;Inducteurs Spécifiques;Raison Eco / LUP ECO;NA;NA;NA;---;BE;---;BE;NA; 0,050;Pesée pièce proto;NA;NA;Plan de définition obligatoire;Renault;Plan;--F; 7;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201317203;CABLAGE PLAFONNIER;Validated; 1; 1;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F10133;Fonction;CABLAGE PLAFONNIER;Renault;7;Projet;H79 PH 2;NA;NA;NA; 3;NA;0M000;NA; 1;Valide;NA;24/05/2016;F10133/AC;NA;NA;CABLAGE PLAFONNIER;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;MOP;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;241603490R;CABLAGE PLAFONNIER;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;MOP;NA;---;NA;-;NA;NA;SUMITOMO ELECTRIC WIRING SYS;TH;NA;Oui;NA;NA;Inducteurs Spécifiques;Raison Eco / LUP ECO;NA;NA;NA;---;BE;---;BE;NA; 0,030;Pesée pièce série;NA;NA;Plan de définition obligatoire;Renault;Plan;--G;10;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201317210;CABLAGE BOUCLIER AR;Validated; 1; 1;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F16568;Fonction;CABLAGE BOUCLIER AR;Renault;5;Projet;H79 PH 2;NA;NA;NA; 4;NA;0M000;NA; 1;Valide;NA;26/02/2016;F16568/AA;NA;NA;CABLAGE BOUCLIER AR;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;MOP;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;240151516R;CABLAGE BOUCLIER AR;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;MOP;NA;---;NA;-;WAZ;NA;SUMITOMO ELECTRIC WIRING SYS;LJ;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Version dérivée ou série limitée;NA;NA;NA;--A;BE;--A;BE;NA; 0,210;Pesée pièce série;NA;NA;Plan de définition obligatoire;Renault;Plan;--F; 8;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201332511;CABLAGE AR;Validated; 5; 5;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X52;F12068;Fonction;CABLAGE AR;Renault;7;Projet;L52;NA;NA;NA;11;NA;0M000;NA; 1;Valide;NA;12/12/2013;F12068/AB;NA;NA;CABLAGE AR G;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;RMA;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;241633372R;CABLAGE AR GAUCHE;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;RMA;NA;---;NA;-;WAZ;NA;NA;NK;NA;Oui;NA;NA;Inducteurs Spécifiques;Raison Eco / LUP ECO;NA;NA;NA;--G;BE;--G;BE;NA; 0,065;Pesée pièce proto;NA;NA;Plan de définition obligatoire;Renault;Plan;--J;14;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201332514;CABLAGE AR;Validated; 5; 5;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X52;F12068;Fonction;CABLAGE AR;Renault;12;Projet;B52 DG;NA;NA;NA;13;NA;0M000;NA; 1;Valide;NA;05/05/2016;F12068/AB;NA;NA;CABLAGE AR G;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;TAN,RMA;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;241633528R;CABLAGE AR GAUCHE;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;RMA,TAN;NA;---;NA;-;WAZ;NA;YAZAKI MOROCCO SA;5M;NA;Oui;NA;NA;Inducteurs Spécifiques;Raison Eco / LUP ECO;NA;NA;NA;--B;BE;--B;BE;NA; 0,099;Pesée pièce série;NA;NA;Plan de définition obligatoire;Renault;Plan;--J;15;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201332523;CABLAGE AR;Refused; 1; 5;0,2000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X52;F12068;Fonction;CABLAGE AR;Renault;7;Projet;L52;NA;NA;NA;11;NA;0M000;NA; 2;Valide;NA;12/12/2013;F12068/AA;NA;NA;CABLAGE AR D;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;RMA;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;241633430R;CABLAGE AR DROITE;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;RMA;NA;---;NA;-;WAZ;NA;YAZAKI MOROCCO SA;7V;NA;Oui;NA;NA;Inducteurs Spécifiques;Evolution du process;NA;NA;NA;--E;BE;--E;BE;NA; 0,106;Pesée pièce proto;NA;NA;Plan de définition obligatoire;Renault;Plan;--J;15;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201332524;CABLAGE AR;Validated; 4; 4;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X52;F12068;Fonction;CABLAGE AR;Renault;12;Projet;B52 DG;NA;NA;NA;13;NA;0M000;NA; 2;Valide;NA;05/05/2016;F12068/AA;NA;NA;CABLAGE AR D;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;TAN,RMA;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;241633166R;CABLAGE AR DROITE;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;RMA,TAN;NA;---;NA;-;WAZ;NA;YAZAKI MOROCCO SA;PW;NA;Oui;NA;NA;Inducteurs Spécifiques;Evolution du process;NA;NA;NA;--F;BE;--F;BE;NA; 0,108;Pesée pièce proto;NA;NA;Plan de définition obligatoire;Renault;Plan;--K;15;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201338706;CABLAGE AR;Validated; 3; 3;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F12068;Fonction;CABLAGE AR;Renault;EL;Projet;H79 PH2 INDIA E3 4X4 RDAR01;NA;NA;NA; 4;NA;0INDE;NA; 1;Valide;NA;11/01/2019;F12068/AC;NA;NA;CABLAGE AR;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;CHN;0INDE;Officielle;NA;NA;NA;BE;NA;NA;NA;241631866S;CABLAGE AR;PIE;Renault;0INDE;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0INDE;Officielle;CHN;NA;---;NA;-;WAZ;NA;NA;BT;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Montée en gamme / Nouvelle teinte;NA;NA;NA;---;BE;---;BE;NA; 2,760;Pesée pièce série;NA;NA;Plan de définition obligatoire;Renault;Plan;--J; 9;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201338712;CABLAGE PORTE AR;Validated; 2; 2;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F16239;Fonction;CABLAGE PORTE AR D;Renault;24;Projet;H79 PH 1 PRIME;NA;NA;NA; 3;NA;0INDE;NA; 1;Valide;NA;27/07/2015;F16239/AA;NA;NA;CABLAGE PORTE AR D;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;CHN;0INDE;Officielle;NA;NA;NA;BE;NA;NA;NA;241264876R;CABLAGE PORTE AR;PIE;Renault;0INDE;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0INDE;Officielle;CHN;NA;---;NA;-;WAZ;NA;MOTHERSON SUMI SYSTEMS LTD.;VC;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Montée en gamme / Nouvelle teinte;NA;NA;NA;--B;BE;--B;BE;NA; 0,123;Pesée pièce série;NA;NA;Plan de définition obligatoire;Renault;Plan;--E; 6;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201338718;PEI_GLOVE_BOX_HARN_DD_H79_PH1PRIME;Validated; 3; 3;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F17113;Fonction;CABLAGE VIDE POCHE;Renault;25;Projet;H79 PH1' & PH2 INDE ET INDO WITH AIRBAG;NA;NA;NA; 4;NA;0INDE;NA; 1;Valide;NA;16/02/2018;F17113/AA;NA;NA;CABLAGE VIDE POCHE;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;CHN;0INDE;Officielle;NA;NA;NA;BE;NA;NA;NA;240186651S;CABLAGE VIDE-POCHE;PIE;Renault;0INDE;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0INDE;Officielle;CHN;NA;---;NA;-;WAZ;NA;NISSAN MOTOR INDIA PRIVATE L;G1;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Montée en gamme / Nouvelle teinte;NA;NA;NA;--B;BE;--B;BE;NA; 0,235;Pesée pièce série;NA;NA;Plan de définition obligatoire;Renault;Plan;--J; 9;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201358200;CABLAGE BOUCLIER AR;Validated; 4; 4;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X52;F16568;Fonction;CABLAGE BOUCLIER AR;Renault;3;Projet;L52 AVEC RADAR DE PROXIMITE AR;NA;NA;NA;17;NA;0M000;NA; 1;Valide;NA;12/12/2016;F16568/AA;NA;NA;CABLAGE BOUCLIER AR;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;IZH,TOA;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;240153915R;CABLAGE BOUCLIER AR;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;TOA,IZH;NA;---;NA;-;WAZ;NA;LEONI RUS OOO;EU;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Non définie;NA;NA;NA;--B;BE;--B;BE;NA; 0,116;Pesée pièce série;NA;NA;Plan de définition obligatoire;Renault;Plan;--G;10;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201358201;CABLAGE BOUCLIER AR;Validated; 2; 2;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X52;F16568;Fonction;CABLAGE BOUCLIER AR;Renault;2;Projet;B52 AVEC RADAR DE PROXIMITE AR;NA;NA;NA; 3;NA;0M000;NA; 1;Valide;NA;01/06/2012;F16568/AA;NA;NA;CABLAGE BOUCLIER AR;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;TOA;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;240157882R;CABLAGE BOUCLIER AR;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;TOA;NA;---;NA;-;WAZ;NA;LEONI RUS OOO;6F;NA;Oui;NA;NA;Inducteurs Spécifiques;Raison Eco / LUP ECO;NA;NA;NA;--F;BE;--F;BE;NA; 0,108;Pesée pièce série;NA;NA;Plan de définition obligatoire;Renault;Plan;--E; 7;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201371940;CABLAGE ADDITIONNEL RADIO;Validated; 2; 2;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F16089;Fonction;CABLAGE ADDITIONNEL RADIO;Renault;10;Projet;MY2019 RA42D;NA;NA;NA; 1;NA;0M000;NA; 1;Valide;NA;17/05/2018;F16089/AA;NA;NA;CABLAGE ADDITIONNEL RADIO;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;ORU;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;240361900R;CABLAGE ADDITIONNEL RADIO;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;ORU;NA;---;NA;-;NA;NA;ZAO PES SKK;BF;NA;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;--A;BE;--A;BE;NA; 0,104;Pesée pièce série;NA;NA;Plan de définition obligatoire;Renault;Plan;--D; 7;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201372458;CABLAGE BOUCLIER AR;Validated; 5; 5;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X52;F16568;Fonction;CABLAGE BOUCLIER AR;Renault;3;Projet;L52 AVEC RADAR DE PROXIMITE AR;NA;NA;NA; 6;NA;0RDBA;NA; 1;Valide;NA;04/07/2012;F16568/AA;NA;NA;CABLAGE BOUCLIER AR;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;8201387007;Renault;---;NA;NA;NA;EXT;0RDBA;Officielle;BE;NA;NA;NA;240153190R;CABLAGE BOUCLIER AR;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;COR,EXT;NA;---;NA;-;WAZ;NA;RENAULT DO BRASIL;J6;NA;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;--G;BE;--G;BE;NA; 0,072;Calculée;NA;NA;Plan de définition obligatoire;Renault;Plan;--G;10;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201412631;CABLAGE MOTEUR;Validated; 3; 3;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F16926;Fonction;CABLAGE MOTEUR H;Renault;14;Projet;H79 H4M 438 PH 2 RUSSIE;NA;NA;NA; 5;NA;0M000;NA; 1;Valide;NA;06/09/2018;F16926/AA;NA;NA;CABLAGE MOTEUR H;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;ORU;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;240114784R;CABLAGE MOTEUR;PIE;Renault;0M000;NA;Renault;NA;MMT Millimètre;NA;NA;NA;EXT;0M000;Officielle;ORU;NA;---;NA;-;NA;NA;ZAO PES SKK;PH;NA;Oui;NA;NA;Inducteurs Spécifiques;Evolution du process;NA;NA;NA;--A;BE;--A;BE;NA; 2,711;Calculée;NA;NA;Plan de définition obligatoire;Renault;Plan;--J;14;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201412639;CABLAGE MASSE BATTERIE;Validated; 2; 2;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F10432;Fonction;CABLE MASSE DE BATTERIE;Renault;29;Projet;H79 PH 2 BVM5 / PH1 NISSAN RUSSIE;NA;NA;NA; 7;NA;0M000;NA; 2;Valide;NA;05/03/2018;F10432/AC;NA;NA;CABLE MASSE DE BATTERIE;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;ORU;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;240807732R;CABLE MASSE BATTERIE;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;ORU;NA;---;NA;-;WAZ;NA;ZAO PES SKK;5;NA;Oui;NA;NA;Inducteurs Spécifiques;Evolution du process;NA;NA;NA;---;BE;---;BE;NA; 0,307;Pesée pièce série;NA;NA;Plan de définition obligatoire;Renault;Plan;--E; 7;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201433511;CABLAGE AR;Validated; 4; 4;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F12068;Fonction;CABLAGE AR;Renault;BN;Projet;H79 PH2 COLOMBIE;NA;NA;NA; 2;NA;0RDBA;NA; 1;Valide;NA;01/11/2017;F12068/AC;NA;NA;CABLAGE AR;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;OCM;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;241631980R;CABLAGE AR;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;OCM;NA;---;NA;-;WAZ;NA;YAZAKI CIEMEL S A;EJ;NA;Oui;NA;NA;Inducteurs Spécifiques;Evolution du process;NA;NA;NA;--B;BE;--B;BE;NA; 2,403;Pesée pièce proto;NA;NA;Plan de définition obligatoire;Renault;Plan;--L;12;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201433516;CABLAGE PORTE CONDUCTEUR;Validated; 4; 4;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F16236;Fonction;CABLAGE PORTE AV G;Renault;40;Projet;PH2 AMERIQUE - H79 ET U79;NA;NA;NA; 2;NA;0RDBA;NA; 1;Valide;NA;03/09/2014;F16236/AA;NA;NA;CABLAGE PORTE AV G;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;VUC,UAS;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;241242317R;CABLAGE PORTE CONDUCTEUR;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;UAS,VUC;NA;---;NA;-;NA;NA;YAZAKI AUTOPARTS DO BRASIL L;GV;NA;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Non définie;NA;NA;NA;--G;BE;--G;BE;NA; 0,287;Pesée pièce série;NA;NA;Plan de définition obligatoire;Renault;Plan;--K;11;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201433525;CABLAGE PORTE PASSAGER;Validated; 3; 3;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F16237;Fonction;CABLAGE PORTE AV D;Renault;32;Projet;PH2 AMERIQUE - H79 ET U79;NA;NA;NA; 3;NA;0RDBA;NA; 1;Valide;NA;03/09/2014;F16237/AA;NA;NA;CABLAGE PORTE AV D;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;VUC,UAS;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;241250462R;CABLAGE PORTE PASSAGER;PIE;Renault;0RASA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;UAS,VUC;NA;---;NA;-;WAZ;NA;YAZAKI AUTOPARTS DO BRASIL L;VD;NA;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Non définie;NA;NA;NA;--F;BE;--F;BE;NA; 0,224;Pesée pièce série;NA;NA;Plan de définition obligatoire;Renault;Plan;--H; 9;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
8201433528;CABLAGE PLAFONNIER;Validated; 5; 5;0,0000000;91;SYSTEMES DISTRIBUTION ELECTRIQUE;X79;F10133;Fonction;CABLAGE PLAFONNIER;Renault;25;Projet;U79;NA;NA;NA; 1;NA;0M000;NA; 1;Valide;NA;31/03/2014;F10133/AC;NA;NA;CABLAGE PLAFONNIER;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;VUC,UAS;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;241600223R;CABLAGE PLAFONNIER;PIE;Renault;0RASA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;UAS,VUC;NA;---;NA;-;NA;NA;YAZAKI AUTOPARTS DO BRASIL L;PR;NA;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;--D;BE;--D;BE;NA; 0,154;Pesée pièce série;NA;NA;Plan de définition obligatoire;Renault;Plan;--G; 8;NA;91 - SYSTEMES DISTRIBUTION ELECTRIQUE
